time,open,high,low,close,volume
2021-07-05,120000,121000,117800,118300,480300
2021-07-06,118200,119900,117800,119300,567200
2021-07-07,119300,121800,118700,121800,839800
2021-07-08,120900,121000,118300,120300,494800
2021-07-09,120200,120200,117300,118900,636700
2021-07-12,118900,121500,114400,120000,1009700
2021-07-13,120000,120000,117800,119900,544200
2021-07-14,119900,120500,111600,117000,1100100
2021-07-15,116900,116900,109200,114800,1035600
2021-07-16,114800,115400,113500,115400,667200
2021-07-19,114700,114700,111000,114000,575900
2021-07-20,113600,114500,110000,114500,515500
2021-07-21,114000,114500,112300,114000,514000
2021-07-22,113900,114200,112800,114000,544600
2021-07-23,113900,113900,110800,113400,536500
2021-07-26,113000,114000,111500,114000,618700
2021-07-27,114000,115500,113800,114900,622500
2021-07-28,114500,114500,113300,114400,520600
2021-07-29,114400,114400,112300,114400,499600
2021-07-30,114500,114500,112400,113000,531100
2021-08-02,113000,115900,113000,115500,499100
2021-08-03,115300,116300,114400,116000,573800
2021-08-04,116000,116200,115000,116200,501500
2021-08-05,116400,116500,114500,116500,370000
2021-08-06,116800,117500,116000,117400,474000
2021-08-09,116800,119700,116000,119500,612100
2021-08-10,119500,120000,117500,118700,496900
2021-08-11,118800,118900,118000,118700,514200
2021-08-12,118700,119000,116900,118700,479400
2021-08-13,118700,118700,116500,118000,535200
2021-08-16,118100,118100,116300,117300,479300
2021-08-17,117400,117400,116800,117300,515600
2021-08-18,117300,118200,117100,118000,847700
2021-08-19,118000,120000,117700,120000,1395400
2021-08-20,119000,120000,117500,119800,1628900
2021-08-23,119500,120300,118200,120300,1568100
2021-08-24,120400,122800,119800,122800,1511400
2021-08-25,123500,127000,123000,127000,1411700
2021-08-26,125800,126900,124300,125800,1114900
2021-08-27,126100,126800,124800,126800,1411900
2021-08-30,126500,127000,124000,126900,1228100
2021-08-31,126800,126800,125000,126500,1053100
2021-09-01,125500,126300,124600,125500,864900
2021-09-06,124700,126000,124700,125700,1004300
2021-09-07,125500,125500,123800,124600,821500
