time,open,high,low,close,volume
2022-05-19,18350,18600,18200,18350,973200
2022-05-20,18350,18600,18250,18400,967000
2022-05-23,18400,18450,17700,17850,1874700
2022-05-24,17850,17850,17000,17400,1682900
2022-05-25,17500,17900,17100,17800,1347800
2022-05-26,17800,18350,17700,17850,1006800
2022-05-27,17850,18600,17850,18600,2084900
2022-05-30,18600,19200,18600,19150,1508100
2022-05-31,19150,19250,18550,18650,1471400
2022-06-01,18600,18700,18300,18600,984200
2022-06-02,18450,18500,18000,18000,1450800
2022-06-03,18000,18400,17900,18050,944600
2022-06-06,18050,18400,17900,17900,1108100
2022-06-07,17900,17900,17400,17650,1296900
2022-06-08,17600,18350,17600,18050,1217900
2022-06-09,18050,18550,17950,18500,1320100
2022-06-10,18200,18500,18000,18000,960500
2022-06-13,17200,17650,17100,17100,1993500
2022-06-14,17000,17400,17000,17100,1129900
2022-06-15,17200,17300,16050,16149,1679600
2022-06-16,16200,16950,16149,16250,982000
2022-06-17,15900,15900,15150,15600,2157800
2022-06-20,15600,15600,14550,14600,1809400
2022-06-21,14600,15000,14100,14950,1305700
2022-06-22,15400,15500,15100,15350,758700
2022-06-23,15300,15300,14700,15300,699800
2022-06-24,15350,15500,15250,15250,808200
2022-06-27,15600,16300,15300,16300,1801300
2022-06-28,16500,17100,16500,16500,1459000
2022-06-29,16250,16250,15800,16050,904700
2022-06-30,15800,16000,15500,15500,1210300
2022-07-01,15500,15800,15100,15600,1089900
2022-07-04,15900,16100,15700,15750,755100
2022-07-05,15800,16000,15450,15450,697100
2022-07-06,15450,16050,15200,15600,967600
2022-07-07,15600,15800,15450,15650,632400
2022-07-08,15800,16450,15750,16350,1608100
2022-07-11,16400,16800,16000,16300,1210300
2022-07-12,16250,16450,16200,16350,899000
2022-07-13,16800,16850,16400,16450,1650800
2022-07-14,16400,16500,16100,16450,970700
2022-07-15,16450,16700,16400,16400,1058000
2022-07-18,16600,16800,16300,16400,1036900
2022-07-19,16400,16450,16250,16400,541700
2022-07-20,16550,16650,16500,16600,1263300
2022-07-21,16600,16600,16400,16450,742600
2022-07-22,16450,16750,16450,16600,1223300
2022-07-25,16600,16600,16300,16350,643500
2022-07-26,16300,16400,16149,16200,609500
2022-07-27,16100,16100,15600,15950,1119900
2022-07-28,16100,16300,15950,16100,740200
2022-07-29,16100,16700,16100,16500,1593500
2022-08-01,16600,17000,16600,16950,2317100
2022-08-02,17100,17150,16700,16900,1315800
2022-08-03,16700,17550,16600,17050,1780800
2022-08-04,17100,17400,17000,17100,1449300
2022-08-05,17200,17950,17200,17800,2785500
2022-08-08,17800,17850,17500,17600,1350600
2022-08-09,17600,17600,17300,17550,1223300
2022-08-10,17550,18500,17350,18100,2060500
2022-08-11,18400,18400,17800,17800,1928100
2022-08-12,17750,17950,17550,17850,825500
2022-08-15,18000,18050,17600,17650,1310500
2022-08-16,17650,17900,17600,17700,968900
2022-08-17,17800,17800,17350,17350,1411900
2022-08-18,17350,17750,17300,17350,1206100
2022-08-19,17350,17550,17250,17400,832800
2022-08-22,17400,17550,17300,17400,841000
2022-08-23,17350,17900,17300,17450,1203000
2022-08-24,17600,18000,17500,17900,2044000
2022-08-25,17900,18150,17800,17900,940500
2022-08-26,17900,18000,17600,17650,1130600
2022-08-29,17300,17500,16850,17050,1772000
2022-08-30,17050,17350,17000,17100,1014000
2022-08-31,17100,17300,17000,17250,412100
2022-09-05,17200,17200,17000,17000,958500
2022-09-06,17000,17100,16850,16850,876100
2022-09-07,16700,16950,16250,16250,1159300
2022-09-08,16100,16250,15150,15150,4808000
2022-09-09,14550,15000,14450,14850,3956200
2022-09-12,14850,15400,14650,14650,2203700
2022-09-13,14550,14950,14500,14800,1033300
2022-09-14,14600,14800,14550,14750,960900
2022-09-15,15200,15350,15100,15150,1431400
2022-09-16,15300,15300,14800,14850,867500
2022-09-19,14750,14850,14500,14550,845700
2022-09-20,14650,14950,14600,14950,916800
2022-09-21,14900,14900,14500,14650,995200
2022-09-22,14600,14850,14500,14800,617700
2022-09-23,14800,14850,14600,14600,521000
2022-09-26,14600,14650,14100,14250,1365000
2022-09-27,14100,14400,14050,14050,645700
2022-09-28,14050,14150,13650,13650,898500
2022-09-29,13650,13900,13600,13600,554400
2022-09-30,13500,13600,12800,13350,1111200
2022-10-03,13250,13350,12500,12500,890700
2022-10-04,12500,13000,12350,12400,775400
2022-10-05,12550,12750,12500,12600,608100
2022-10-06,12700,12800,12200,12200,633800
2022-10-07,12000,12200,11350,11350,1816600
2022-10-10,11100,11350,10800,11250,890000
2022-10-11,11250,11450,11000,11000,625000
2022-10-12,11100,11550,11100,11400,692700
2022-10-13,11400,11800,11400,11600,422900
2022-10-14,11700,11800,11500,11650,630300
2022-10-17,11650,11700,11300,11450,406600
2022-10-18,11600,11750,11450,11650,572700
2022-10-19,11800,11900,11600,11800,708500
2022-10-20,11800,11800,11600,11700,453500
2022-10-21,11600,11700,11100,11150,730700
2022-10-24,11150,11250,10450,10550,840100
2022-10-25,10500,11000,10000,10550,771900
